                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.5796,                 1.0421,                0.86972,                0.62703,                0.47451,                0.45137,                0.19261,                 2.0376,                 1.3123,                0.92889,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.5535,                  1.053,                0.86515,                0.61971,                0.46667,                 0.4435,                0.20012,                 2.0045,                 1.2966,                0.92288,               0.000218,               0.000218,               0.000218
                     92,                 1.5297,                 1.0105,                0.84359,                0.61098,                0.46275,                0.44347,                0.20205,                 1.9915,                  1.294,                0.92272,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.5195,                 1.0221,                0.84894,                0.61078,                0.45098,                0.43976,                 0.2017,                 1.9791,                 1.2922,                0.92306,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.5841,                 1.0377,                0.88425,                0.61331,                0.44783,                0.43822,                0.20038,                 1.9722,                 1.2956,                0.92339,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.6604,                 1.1037,                0.85092,                  0.612,                0.43917,                0.43343,                0.19723,                 1.9659,                 1.2904,                0.92621,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.4984,                 1.0038,                 0.8564,                0.60988,                0.43529,                0.43338,                0.19279,                 1.9686,                 1.2942,                0.92701,               0.000119,               0.000119,               0.000119
                     97,                  1.537,                 1.0224,                 0.8687,                0.62579,                0.44314,                0.43875,                0.19279,                 1.9629,                 1.2925,                 0.9272,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.5333,                 1.0364,                0.85092,                0.62507,                0.44458,                0.44373,                 0.1984,                 1.9527,                 1.2881,                0.92675,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.5165,                0.96903,                 0.8735,                0.61372,                0.44314,                0.43912,                0.19996,                 1.9283,                 1.2818,                0.92317,               5.96e-05,               5.96e-05,               5.96e-05
